Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground
LID,-75.29686741,66.12933398,-99.65481637,LID-3,AIM_BOX_EGO_HUG_WAX,AIM-LID_BOX-LID_EGO-LID_HUG-LID_LID-WAX,AIM-LID-3_EGO-LID-3_LID-WAX-3_BOX-LID-4_HUG-LID-4,AIM-3_EGO-3_WAX-3_BOX-4_HUG-4,1
LIE,25.37320059,-71.04085602,52.34109163,LIE-13_LIE-11_LIE-14,COW_EAR_EVE_OLD,COW-LIE_EAR-LIE_EVE-LIE_LIE-OLD,COW-LIE-11_EAR-LIE-11_LIE-OLD-13_EVE-LIE-14_LIE-OLD-14,COW-11_EAR-11_OLD-13_EVE-14_OLD-14,0
SIP,-28.66803741,143.011165,-69.18081237,SIP-3,GUT_HEX_MAY_RUM_WAX,GUT-SIP_HEX-SIP_MAY-SIP_RUM-SIP_SIP-WAX,GUT-SIP-3_HEX-SIP-3_MAY-SIP-3_RUM-SIP-3_SIP-WAX-3,GUT-3_HEX-3_MAY-3_RUM-3_WAX-3,1
BOY,108.4197686,11.93373498,-68.75523137,BOY-2,BAH_FOX_CIS_ORC,BAH-BOY_BOY-FOX_BOY-CIS_BOY-ORC,BAH-BOY-2_BOY-FOX-2_BOY-CIS-2_BOY-ORC-2,BAH-2_FOX-2_CIS-2_ORC-2,0
PAY,104.2987506,-39.62004702,-34.32920937,PAY-8,ETA_JAR_LUG_TUX_WIN,ETA-PAY_JAR-PAY_LUG-PAY_PAY-TUX_PAY-WIN,ETA-PAY-8_JAR-PAY-8_LUG-PAY-8_PAY-TUX-8_PAY-WIN-8,ETA-8_JAR-8_LUG-8_TUX-8_WIN-8,0
AGE,-90.54446141,-39.40249202,-41.39540837,AGE-9,KIT_DOG_BAR_ONO_ELK,AGE-KIT_AGE-DOG_AGE-BAR_AGE-ONO_AGE-ELK,AGE-KIT-9_AGE-DOG-9_AGE-BAR-9_AGE-ONO-9_AGE-ELK-9,KIT-9_DOG-9_BAR-9_ONO-9_ELK-9,0
OAK,18.45301759,-148.691116,-31.06690737,OAK-10,CAB_DAD_FOR_GET_ROB,CAB-OAK_DAD-OAK_FOR-OAK_GET-OAK_OAK-ROB,CAB-OAK-10_DAD-OAK-10_FOR-OAK-10_GET-OAK-10_OAK-ROB-10,CAB-10_DAD-10_FOR-10_GET-10_ROB-10,1
EON,62.85992059,51.31187898,48.11208163,EON-7,AHI_POP_TOY,AHI-EON_EON-POP_EON-TOY,AHI-EON-7_EON-POP-7_EON-TOY-7,AHI-7_POP-7_TOY-7,0
MIX,-82.31358541,116.370628,-59.92703137,MIX-3,AGO_GUT_HEX_MOM_WAX,AGO-MIX_GUT-MIX_HEX-MIX_MIX-MOM_MIX-WAX,AGO-MIX-3_GUT-MIX-3_HEX-MIX-3_MIX-MOM-3_MIX-WAX-3,AGO-3_GUT-3_HEX-3_MOM-3_WAX-3,0
EGO,-99.14678941,74.90171698,-80.80211637,EGO-3,AIM_BOX_MOM_LID_OAR,AIM-EGO_BOX-EGO_EGO-MOM_EGO-LID_EGO-OAR,AIM-EGO-3_EGO-MOM-3_EGO-LID-3_EGO-OAR-3_BOX-EGO-4,AIM-3_MOM-3_LID-3_OAR-3_BOX-4,0
