Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground
LID,-75.29686741,66.12933398,-99.65481637,LID-3,AIM_BOX_EGO_GYM_HUG_MOM_WAX,AIM-LID_BOX-LID_EGO-LID_GYM-LID_HUG-LID_LID-MOM_LID-WAX,AIM-LID-3_EGO-LID-3_GYM-LID-3_LID-MOM-3_LID-WAX-3_BOX-LID-4_HUG-LID-4,AIM-3_EGO-3_GYM-3_MOM-3_WAX-3_BOX-4_HUG-4,1
LIE,25.37320059,-71.04085602,52.34109163,LIE-13_LIE-11_LIE-14,EVE_HOT_ZOO,EVE-LIE_HOT-LIE_LIE-ZOO,LIE-ZOO-11_HOT-LIE-13_EVE-LIE-14,ZOO-11_HOT-13_EVE-14,0
SIP,-28.66803741,143.011165,-69.18081237,SIP-3,GUT_HEX_MAY_RUM_WAX,GUT-SIP_HEX-SIP_MAY-SIP_RUM-SIP_SIP-WAX,GUT-SIP-3_HEX-SIP-3_MAY-SIP-3_RUM-SIP-3_SIP-WAX-3,GUT-3_HEX-3_MAY-3_RUM-3_WAX-3,1
BOY,108.4197686,11.93373498,-68.75523137,BOY-2,BAH_FOX_ETA_TAG_CIS_ORC,BAH-BOY_BOY-FOX_BOY-ETA_BOY-TAG_BOY-CIS_BOY-ORC,BAH-BOY-2_BOY-FOX-2_BOY-ETA-2_BOY-TAG-2_BOY-CIS-2_BOY-ORC-2,BAH-2_FOX-2_ETA-2_TAG-2_CIS-2_ORC-2,0
PAY,104.2987506,-39.62004702,-34.32920937,PAY-8,TUX_WHY_WIN,PAY-TUX_PAY-WHY_PAY-WIN,PAY-TUX-8_PAY-WHY-8_PAY-WIN-8,TUX-8_WHY-8_WIN-8,0
AGE,-90.54446141,-39.40249202,-41.39540837,AGE-9,CHI_BAR_SIR_ONO,AGE-CHI_AGE-BAR_AGE-SIR_AGE-ONO,AGE-CHI-9_AGE-BAR-9_AGE-SIR-9_AGE-ONO-9,CHI-9_BAR-9_SIR-9_ONO-9,0
OAK,18.45301759,-148.691116,-31.06690737,OAK-10,CAB_FOR_GET_ROB,CAB-OAK_FOR-OAK_GET-OAK_OAK-ROB,CAB-OAK-10_FOR-OAK-10_GET-OAK-10_OAK-ROB-10,CAB-10_FOR-10_GET-10_ROB-10,1
EON,62.85992059,51.31187898,48.11208163,EON-7,ACE_AHI_BRO_YES_WET_POP_NIL_TOY,ACE-EON_AHI-EON_BRO-EON_EON-YES_EON-WET_EON-POP_EON-NIL_EON-TOY,ACE-EON-7_AHI-EON-7_BRO-EON-7_EON-YES-7_EON-WET-7_EON-POP-7_EON-NIL-7_EON-TOY-7,ACE-7_AHI-7_BRO-7_YES-7_WET-7_POP-7_NIL-7_TOY-7,0
MIX,-82.31358541,116.370628,-59.92703137,MIX-3,AIM_ALA_HEX_OAR_WAX,AIM-MIX_ALA-MIX_HEX-MIX_MIX-OAR_MIX-WAX,AIM-MIX-3_ALA-MIX-3_HEX-MIX-3_MIX-OAR-3_MIX-WAX-3,AIM-3_ALA-3_HEX-3_OAR-3_WAX-3,0
EGO,-99.14678941,74.90171698,-80.80211637,EGO-3,AIM_BOX_LID_OAR,AIM-EGO_BOX-EGO_EGO-LID_EGO-OAR,AIM-EGO-3_EGO-LID-3_EGO-OAR-3_BOX-EGO-4,AIM-3_LID-3_OAR-3_BOX-4,0
